Trait Name,Archetype,Kiss (Benefits),Curse (Drawbacks),Triggers/Conditions,Affected Stats/Behaviors,Net Budget,Dev Review
Achievement Hunter,Wildcard,"First Clear Master: +30/50/75% gold on first clear (Normal/Heroic/Mythic); Challenge Obsession: +40% materials (deathless), +30% fame (speed), +25% gold (full party); Guild Achievement Unlocked: +15 morale to party on completion",Repeat Content Penalty: -10% personal gold on repeat runs at same difficulty; cannot trigger challenge bonuses on repeats,"First clear per dungeon, difficulty tier, challenge completion (deathless/speed/full party)","Gold, Materials, Fame, Morale",22,Needs Review
AFK Farmer,Specialist,Comeback Mechanic: +25% damage +10% hit after skipping turn; Multitasking Master: +10 morale on skip; Defensive Cover: +8% DEF to all allies while skipping,Speed Penalty: -10% AGI for 1 turn if acts first in round,"Skip turn action, turn order","Damage, Hit Chance, Morale, DEF, AGI",11,Needs Review
Altoholic,Enabler,Recruitment Discount (Guild): -20% recruitment cost; Self-Recruitment: -30% own recruitment cost; Variety Damage: +12% damage with 4 different classes; XP Bonus: +6% party XP with 4 different classes,Class Duplication Penalty: -8% damage when 2+ party members share a class,Party class composition (4 different classes vs duplicates),"Recruitment Cost, Damage, XP",23,Needs Review
Backseat Gamer,Enabler,I Told You So: +12% damage vs Suggested target; Tactical Advice: +10% Accuracy +5% Crit for allies attacking Suggested target; Good Call: +2 party morale on Suggested target kill,Ignored Advice: -10% AGI and -2 party morale when ally attacks non-Suggested target (1 turn CD),"Suggestion/marking system, ally target selection","Damage, Accuracy, Crit, AGI, Morale",11,Needs Review
Boomer,Wildcard,"Old School Resilience: +15% VIT +15% DEF permanently; Veteran Experience: 20% chance to ignore negative status effects; Back In My Day: Party immune to Panic/Fear while above 50% HP, +5 morale/turn to lowest ally",Slow Reflexes: -20% AGI permanently; -10% damage for 2 turns if using Complex/Combo skills,"HP threshold (50%), skill complexity tags","VIT, DEF, AGI, Damage, Status Immunity, Morale",11.5,Needs Review
Casual Andy,Wildcard,Beginner's Luck: 15% chance for +50% damage and 0 morale cost; Vibe Check: 20% chance to negate incoming damage; Positive Vibes: 25% chance per round for +10 party morale,Mechanically Challenged: 10% chance to fumble (-50% damage or -10 morale),RNG proc chances on actions and rounds,"Damage, Evasion, Morale",15.5,Needs Review
Completionist,Enabler,Full Clear Focus: +4% damage +4% crit per living ally (max +12%/+12%); OCD Efficiency: +10% missing morale on first use of each skill; Nobody Left Behind: +10% party DEF with all 4 alive,Run Failed: -20% damage -20% AGI for rest of fight if any ally dies,"Party survival count, skill usage tracking, ally death events","Damage, Crit, Morale, DEF, AGI",13,Needs Review
Crazy Cat Lady,Selfish,Litter Box Loot: +18% gold +12% materials; Feline Reflexes: +10% evasion permanently; Kitty Cuddles: +5 morale to party between dungeon rooms,Distracted by Cats: Every 3rd turn stunned (pet cat); -5% party gold (Cat Food Tax),"Turn count (every 3rd), room transitions","Gold, Materials, Evasion, Morale, Stun",16,Needs Review
Drama Queen,Wildcard,Main Character Moment: Gain Overdrive when hit by 3+ enemies (once per fight); Clutch Performance: +10% crit when any ally <50% HP; We Got This: +5% party crit when ally <50% HP,Insufferable Bragging: -8 party morale on landing a crit (2 turn CD),"Hit by 3+ enemies, ally HP thresholds (<50%), personal crits","Overdrive, Crit, Morale",14,Needs Review
Guild Leader,Leader,Lead from the Front: +15% damage in slot 1; Tactical Formation: +8% damage to slots 2-3 while in slot 1; Diverse Command: -1 CD to all party skills round 1 if all traits unique,Dishonored: Lose all Kiss bonuses for 2 turns if moved from slot 1; Exposed Leader: -8% VIT for 2 turns when displaced,"Positional (slot 1), party trait uniqueness, displacement","Damage, Cooldowns, VIT",13,Needs Review
Hardcore Permadeather,Selfish,Elite Training: +30% primary stat; Desperation Strike: +20% damage below 50% HP; Last Stand: +15% DEF below 50% HP; Refuse to Die: Survive lethal at 1 HP once per fight; Learn from My Example: +20% ally revive effectiveness; Inspiring Presence: +5% party crit while alive,No Resurrection: Cannot be revived; Catastrophic Loss: -15 party morale on death,"HP thresholds (50%), death event","Primary Stat, Damage, DEF, Crit, Revive, Morale, Permadeath",22,Needs Review
Hoarder,Specialist,"Resourceful: +30% materials found, 10% chance for rarity upgrade; Just In Case: +1% DEF per 10 materials in inventory (max +15%); I Have One Of Those: +10% party status resistance",Overburdened: -15% AGI permanently; -10 morale when using consumables,"Material collection, inventory count, consumable usage","Materials, DEF, AGI, Morale, Status Resistance",14,Needs Review
Jenkins,Wildcard,At least I have chicken: +30% damage +20% crit in Round 1; Let's do this: +20% XP if dungeon cleared under par time; Stick to the Plan: +10% party damage in Round 1,Reckless Charge: -15% DEF permanently; starting Round 4: -10 morale/turn and -10% accuracy,"Round count (1, 4+), dungeon clear time","Damage, Crit, DEF, Morale, Accuracy, XP",12,Needs Review
Kill Stealer,Selfish,Glory Seeker: +12% damage vs targets <40% HP; Kill Confirmed: +8% crit +10 morale on kill (stacks 3x); I Carried: +3% party accuracy for 2 turns on kill,Kill Denial Rage: -10% AGI -5 morale when enemy dies but didn't land killing blow (2 turn CD),"Enemy HP thresholds (<40%), killing blow events","Damage, Crit, Morale, AGI, Accuracy",14,Needs Review
Meta Slave,Enabler,Tier List Target: Apply Mark stack to focus-fire target; S-Tier DPS: +8% damage vs Marked targets; Just Follow the Guide: +8% party hit chance vs focus-fire target; Meta Synergy: +5% party crit vs Marked,Off-Meta Play: -5% party hit chance for 1 turn when attacking non-focus-fire target,"Focus-fire target designation, Mark stacks","Mark, Damage, Hit Chance, Crit",16,Needs Review
Min-Maxer,Specialist,Breakpoint Mastery: +15% damage if primary stat is multiple of 10; Frame Perfect: +10% crit if AGI is even number; Check Your Gear: +5% accuracy to party members with a stat ending in 0,Spreadsheet Rage: -10% morale gain -5% VIT if any primary stat ends in 1/3/7/9,"Stat values (multiples of 10, even/odd, digit endings)","Damage, Crit, Accuracy, VIT, Morale",11,Needs Review
Night Owl,Specialist,Wired (every 2nd round): +25% damage +15% AGI for 1 turn; Second Wind: Immune to morale loss +5 morale while Wired; Stay Awake: +5% party accuracy while Wired,Groggy (alternating rounds): -15% accuracy -10% evasion,Round parity (alternating Wired/Groggy cycle),"Damage, AGI, Accuracy, Evasion, Morale",15,Needs Review
Rage Quitter,Selfish,I'm Carrying This: +15% damage +10% AGI above 80% HP; Clutch or Kick: Clear Tilted +15 morale on kill while Tilted; Git Gud: +5% party damage while above 80% HP,Tilted (below 40% HP): -20% accuracy -10% damage -5 party morale for 3 turns,"HP thresholds (80% high, 40% low)","Damage, AGI, Accuracy, Morale",12.5,Needs Review
Schedule Andy,Enabler,Peak Performance (R2-4): +20% damage +15% accuracy; Stick to the Plan (R2-4): +10% party damage +10% party accuracy; On Time: +10 party morale if fight starts with full party,"Overtime Penalty (R5+): -20% damage -15% AGI, -5 party morale/turn","Round count (2-4 optimal, 5+ penalty), party count at start","Damage, Accuracy, AGI, Morale",18,Needs Review
Solo Player,Selfish,Lone Wolf: +15% damage +10% evasion when no ally in same row; Self-Sufficient: +5% max HP/turn when isolated; Ignore Me: -10% enemy targeting on allies in same row,Social Anxiety: -15% accuracy -8% damage if 2+ allies in same row,Row occupancy and positioning,"Damage, Evasion, HP Regen, Accuracy, Enemy Targeting",13,Needs Review
Streamer,Wildcard,"Poggers Momentum: +5% damage per crit (max 4 stacks/Hype, 2 turn duration); Donation Goal: Gain Overdrive at 4 Hype stacks (once per battle); Hype Train: +2% party crit per Hype stack (max +8%)","Dead Chat: Lose all Hype, -10 morale, -10% AGI for 2 turns if no crit/kill for 2 consecutive turns","Crit landing, Hype stack count, turn inactivity","Damage, Crit, Overdrive, Morale, AGI",13,Needs Review
Theorycrafter,Specialist,"Optimal Rotation: +8% damage per unique skill in succession (max 3 stacks, decays 1/turn); Frame-Perfect Execution: -1 CD on first unique skill each round; Calculated Opener: -1 CD to all party skills round 1",Pattern Recognition: +1 CD if same skill used within 2 turns of previous use,"Skill usage history, unique vs repeated skills","Damage, Cooldowns",22,Needs Review
Tryhard,Specialist,Deep Focus: +5% damage +3% accuracy per round (max 5 stacks); Optimization Master: -1 CD every 3rd round; Stay Focused: +10 party morale/round starting R4,Opening Jitters (R1-2): -15% damage -10% crit,"Round count (scaling bonuses, R1-2 penalty, R3 CD, R4+ morale)","Damage, Accuracy, Crit, Cooldowns, Morale",11,Needs Review
Whale,Leader,P2W Gear: +15% damage +15% HP; Guild Sponsor: Spend 500 gold for +10% all party stats per dungeon; My Treat: +15% healing received to party,Maintenance Costs: -10% party gold; -20% damage if guild gold <1000,"Gold spending, guild treasury level","Damage, HP, All Stats, Healing, Gold",15.6,Needs Review
Zoomer,Specialist,No Cap Speed: +15% AGI permanently; First!: -1 CD if acting first in round; Fast Pass: +10% party AGI in Round 1,Brain Rot (R5+): -15% damage and -10 morale/turn (max -30% damage),"Turn order (first action), round count (1, 5+)","AGI, Cooldowns, Damage, Morale",11,Needs Review